-! 07/11/15 10:23:10.936 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
-! 07/11/15 10:23:10.938 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
	*** Attempting to initialize the Sick LD...
	Attempting to connect to Sick LD @ 192.168.187.204:49152
		Connected to Sick LD!
	Attempting to start buffer monitor...
		Buffer monitor started!
	Attempting to sync driver with Sick LD...
		Synchronized!
	*** Init. complete: Sick LD is online and ready!
	Num. Active Sectors: 1
	Motor Speed: 10 (Hz)
	Scan Resolution: 1 (deg)

	Attempting to set desired scan config...
		Using desired scan area(s)!
	=========== Sick Sector Config ===========
	Num. Active Sectors: 1
	Num. Initialized Sectors: 1
	Sector Configs.:
		0 [0,359] (MEASURING)
	==========================================
	Requesting RANGE ONLY data stream from Sick LD...
		Data stream started!
valor267 es 496.094
valor268 es 500
valor269 es 488.281
valor270 es 460.938
valor271 es 500
valor272 es 507.812
valor273 es 496.094
valor274 es 507.812
valor275 es 480.469
valor276 es 503.906
valor277 es 464.844
valor278 es 496.094
valor279 es 503.906
valor280 es 500
valor281 es 507.812
valor282 es 480.469
valor283 es 468.75
valor284 es 472.656
valor285 es 515.625
valor286 es 523.438
valor287 es 503.906
valor288 es 539.062
valor289 es 515.625
valor290 es 500
valor291 es 492.188
valor292 es 480.469
valor293 es 460.938
valor294 es 468.75
valor295 es 464.844
valor296 es 519.531
valor297 es 464.844
valor298 es 472.656
valor299 es 457.031
valor300 es 488.281
valor301 es 484.375
valor302 es 476.562
valor303 es 468.75
valor304 es 496.094
valor305 es 449.219
valor306 es 468.75
valor307 es 460.938
valor308 es 484.375
valor309 es 460.938
valor310 es 500
valor311 es 468.75
valor312 es 507.812
valor313 es 492.188
valor314 es 488.281
valor315 es 437.5
valor316 es 500
valor317 es 480.469
valor318 es 472.656
valor319 es 511.719
valor320 es 66.4062
valor321 es 46.875
valor322 es 42.9688
valor323 es 531.25
valor324 es 488.281
valor325 es 515.625
valor326 es 500
valor327 es 488.281
valor328 es 468.75
valor329 es 476.562
valor330 es 488.281
valor331 es 472.656
valor332 es 480.469
valor333 es 507.812
valor334 es 449.219
valor335 es 464.844
valor336 es 488.281
valor337 es 460.938
valor338 es 464.844
valor339 es 503.906
valor340 es 488.281
valor341 es 468.75
valor342 es 476.562
valor343 es 468.75
valor344 es 429.688
valor345 es 445.312
valor346 es 441.406
valor347 es 460.938
valor348 es 472.656
valor349 es 464.844
valor350 es 472.656
valor351 es 476.562
valor352 es 460.938
valor353 es 492.188
valor354 es 445.312
valor355 es 449.219
valor356 es 457.031
valor357 es 417.969
valor358 es 464.844
valor359 es 460.938
valor0 es 464.844
valor1 es 468.75
valor2 es 464.844
valor3 es 417.969
valor4 es 445.312
valor5 es 464.844
valor6 es 492.188
valor7 es 468.75
valor8 es 480.469
valor9 es 480.469
valor10 es 460.938
valor11 es 476.562
valor12 es 476.562
valor13 es 449.219
valor14 es 484.375
valor15 es 492.188
valor16 es 429.688
valor17 es 445.312
valor18 es 464.844
valor19 es 445.312
valor20 es 433.594
valor21 es 437.5
valor22 es 500
valor23 es 445.312
valor24 es 441.406
valor25 es 468.75
valor26 es 437.5
valor27 es 445.312
valor28 es 449.219
valor29 es 417.969
valor30 es 449.219
valor31 es 460.938
valor32 es 445.312
valor33 es 457.031
valor34 es 445.312
valor35 es 457.031
valor36 es 425.781
valor37 es 429.688
valor38 es 476.562
valor39 es 445.312
valor40 es 460.938
valor41 es 476.562
valor42 es 437.5
valor43 es 445.312
valor44 es 433.594
valor45 es 484.375
valor46 es 425.781
valor47 es 457.031
valor48 es 449.219
valor49 es 484.375
valor50 es 445.312
valor51 es 453.125
valor52 es 488.281
valor53 es 457.031
valor54 es 453.125
valor55 es 468.75
valor56 es 472.656
valor57 es 472.656
valor58 es 484.375
valor59 es 472.656
valor60 es 496.094
valor61 es 476.562
valor62 es 441.406
valor63 es 82.0312
valor64 es 58.5938
valor65 es 50.7812
valor66 es 42.9688
valor67 es 42.9688
valor68 es 62.5
valor69 es 62.5
valor70 es 46.875
valor71 es 66.4062
valor72 es 54.6875
valor73 es 50.7812
valor74 es 42.9688
valor75 es 66.4062
valor76 es 42.9688
valor77 es 35.1562
valor78 es 62.5
valor79 es 46.875
valor80 es 46.875
valor81 es 46.875
valor82 es 62.5
valor83 es 62.5
valor84 es 62.5
valor85 es 50.7812
valor86 es 46.875
valor87 es 27.3438
valor88 es 66.4062
valor89 es 42.9688
valor90 es 23.4375
valor91 es 42.9688
valor92 es 50.7812
valor93 es 66.4062
valor94 es 50.7812
valor95 es 58.5938
valor96 es 42.9688
valor97 es 54.6875
valor98 es 66.4062
valor99 es 74.2188
valor100 es 58.5938
valor101 es 50.7812
valor102 es 31.25
valor103 es 70.3125
valor104 es 74.2188
valor105 es 58.5938
valor106 es 35.1562
valor107 es 82.0312
valor108 es 42.9688
valor109 es 66.4062
valor110 es 27.3438
valor111 es 50.7812
valor112 es 62.5
valor113 es 58.5938
valor114 es 50.7812
valor115 es 46.875
valor116 es 42.9688
valor117 es 50.7812
valor118 es 46.875
valor119 es 35.1562
valor120 es 46.875
valor121 es 31.25
valor122 es 54.6875
valor123 es 74.2188
valor124 es 214.844
valor125 es 316.406
valor126 es 332.031
valor127 es 351.562
valor128 es 355.469
valor129 es 382.812
valor130 es 425.781
valor131 es 402.344
valor132 es 386.719
valor133 es 382.812
valor134 es 355.469
valor135 es 343.75
valor136 es 332.031
valor137 es 285.156
valor138 es 218.75
valor139 es 66.4062
valor140 es 66.4062
valor141 es 50.7812
valor142 es 54.6875
valor143 es 46.875
valor144 es 70.3125
valor145 es 62.5
valor146 es 42.9688
valor147 es 66.4062
valor148 es 66.4062
valor149 es 54.6875
valor150 es 39.0625
valor151 es 50.7812
valor152 es 39.0625
valor153 es 39.0625
valor154 es 54.6875
valor155 es 62.5
valor156 es 31.25
valor157 es 50.7812
valor158 es 54.6875
valor159 es 50.7812
valor160 es 42.9688
valor161 es 74.2188
valor162 es 78.125
valor163 es 54.6875
valor164 es 66.4062
